embedding_name,model_id,revision,rows,embedding_dimension,max_sequence_length,descriptions_over_single_window,multi_chunk_rate,total_chunks,maximum_raw_tokens,generation_seconds,cache_status,cache_size_mb,device
MiniLM English,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,3497,384,256,929,0.2656562768086932,4601,1875,14.271858374588192,loaded,7.321290969848633,mps
Multilingual E5 Small,intfloat/multilingual-e5-small,fd1525a9fd15316a2d503bf26ab031a61d056e98,3497,384,512,116,0.03317128967686588,3628,2064,23.476674292236567,loaded,7.321004867553711,mps
