embedding,model,threshold_policy,cv_macro_f1_mean,cv_macro_f1_std,cv_micro_f1_mean,training_oof_tuned_macro_f1,mean_cv_fit_seconds,grid_search_seconds,validation_macro_f1,validation_micro_f1,validation_macro_average_precision,validation_subset_accuracy,validation_hamming_loss,best_parameters
MiniLM English,Logistic Regression,Training-OOF tuned,0.5398290644548787,0.014184494668488996,0.6098205094037432,0.5714473302853137,3.8688369750976563,14.984989374876022,0.5805498315242382,0.666018158236057,0.6211866276954295,0.12761904761904763,0.1961904761904762,"{""classifier__estimator__C"": 0.1}"
MiniLM English,Linear SVM,Training-OOF tuned,0.5381202909482397,0.014920084071983872,0.6091114895224163,0.5654515428109127,2.4705771923065187,9.288311292417347,0.5762685857770814,0.6577887890987922,0.6190247508152747,0.10095238095238095,0.21047619047619048,"{""classifier__estimator__C"": 0.01}"
Multilingual E5 Small,Logistic Regression,Training-OOF tuned,0.5666692528001552,0.009709266983755691,0.6386057414078177,0.5856302430491229,2.752640438079834,7.201931958086789,0.575556884989602,0.6698656429942419,0.608814403809855,0.13142857142857142,0.19657142857142856,"{""classifier__estimator__C"": 0.1}"
Multilingual E5 Small,Linear SVM,Training-OOF tuned,0.5593968438256727,0.00974628135643651,0.6351731969583735,0.5824737203307644,1.8202219963073731,8.919947207905352,0.5705986617470848,0.6677316293929713,0.6030690793697411,0.13904761904761906,0.1980952380952381,"{""classifier__estimator__C"": 0.01}"
Multilingual E5 Small,Logistic Regression,Default,0.5666692528001552,0.009709266983755691,0.6386057414078177,0.5856302430491229,2.752640438079834,7.201931958086789,0.5694211833221913,0.6430395913154534,0.608814403809855,0.14095238095238094,0.21295238095238095,"{""classifier__estimator__C"": 0.1}"
Multilingual E5 Small,Linear SVM,Default,0.5593968438256727,0.00974628135643651,0.6351731969583735,0.5824737203307644,1.8202219963073731,8.919947207905352,0.5656595206407988,0.6403313157056387,0.6030690793697411,0.14285714285714285,0.21504761904761904,"{""classifier__estimator__C"": 0.01}"
MiniLM English,Logistic Regression,Default,0.5398290644548787,0.014184494668488996,0.6098205094037432,0.5714473302853137,3.8688369750976563,14.984989374876022,0.5588583973732372,0.6171825647504738,0.6211866276954295,0.09333333333333334,0.23085714285714284,"{""classifier__estimator__C"": 0.1}"
MiniLM English,Linear SVM,Default,0.5381202909482397,0.014920084071983872,0.6091114895224163,0.5654515428109127,2.4705771923065187,9.288311292417347,0.5572442188753718,0.6157728706624606,0.6190247508152747,0.09333333333333334,0.232,"{""classifier__estimator__C"": 0.01}"
