candidate,cv_macro_f1_mean,cv_macro_f1_std,cv_micro_f1_mean,cv_macro_ap_mean,cv_hamming_loss_mean,total_fit_seconds
Classical + E5 fusion,0.6745532497865199,0.002656476469308902,0.7386586764799344,0.7276376390317331,0.14817462896760913,62.07238086126745
Classical TF-IDF,0.6446896505090679,0.0058255696879094074,0.7100619279424496,0.6948297990421892,0.15758314375473945,62.07238086126745
Fine-tuned E5 | Asymmetric loss,0.6388771450964578,0.010315516933171674,0.7222845414988318,0.6805815947997768,0.1533907485646192,439.4745129160583
Fine-tuned E5 | Weighted BCE,0.6303613037070748,0.006744875377612755,0.7016838831588913,0.6656457951923379,0.16769039107355652,426.81420337595046
Frozen E5,0.6521145307588223,0.004791505316186687,0.7255055244093888,0.6917878293942133,0.15640233994150146,62.07238086126745
