outer_fold,classical_weight,e5_weight,inner_macro_f1,threshold_policy,e5_calibration_gain
1,0.5,0.5,0.6681635659487491,Tuned,0.037144311124046925
2,0.5,0.5,0.6595119662447816,Tuned,0.03548282260187041
3,0.5,0.5,0.6688667655689582,Tuned,0.037962361285257984
