candidate,cv_macro_f1_mean,cv_macro_f1_std,macro_f1_gain_vs_classical,worst_rare_genre_f1_delta,worst_language_macro_f1_delta,eligible
Classical + E5 fusion,0.6745532497865199,0.002656476469308902,0.02986359927745197,0.028405357594136982,0.022185898025709916,True
Classical TF-IDF,0.6446896505090679,0.0058255696879094074,0.0,0.0,0.0,True
Frozen E5,0.6521145307588223,0.004791505316186687,0.007424880249754406,-0.03649919453508477,-0.004039351078145237,False
Fine-tuned E5 | Asymmetric loss,0.6388771450964578,0.010315516933171674,-0.005812505412610136,-0.07027797776006112,-0.022892358980540872,False
Fine-tuned E5 | Weighted BCE,0.6303613037070748,0.006744875377612755,-0.01432834680199313,-0.06755184345055276,-0.027263971727623515,False
