candidate,threshold_policy,nested_macro_f1_mean,nested_macro_f1_std,nested_micro_f1_mean,nested_macro_ap_mean,nested_hamming_loss_mean,total_fit_seconds
Multilingual E5 Small,Inner-OOF tuned,0.6542882370960551,0.007840617177077824,0.7264243799871342,0.6923130709973224,0.15396481408112722,90.53439879138023
Classical Word + Character TF-IDF,Inner-OOF tuned,0.6484544053668988,0.004140149067395171,0.717704444580979,0.6977551806765611,0.16135862636155554,273.2022820841521
Classical Word + Character TF-IDF,Default,0.6465023303369289,0.0026204961691668645,0.7118385869453252,0.6977551806765611,0.15716070603731708,273.1378982923925
MiniLM English,Inner-OOF tuned,0.6174490406534935,0.005043178785804163,0.6960142852417407,0.6548859478286763,0.17437993478803765,140.38892753981054
Multilingual E5 Small,Default,0.6132752617378119,0.0013191097300736976,0.6773840641707654,0.6923130709973224,0.19625183426247392,90.47011662553996
MiniLM English,Default,0.5788832851906487,0.0018661023308141776,0.6417745874500064,0.6548859478286763,0.222949905974978,140.32432962488383
