candidate,chosen_policy,calibration_gain,selection_macro_f1,selection_macro_f1_std
Multilingual E5 Small,Inner-OOF tuned,0.04101297535824322,0.6542882370960551,0.007840617177077824
Classical Word + Character TF-IDF,Default,0.0019520750299698575,0.6465023303369289,0.0026204961691668645
MiniLM English,Inner-OOF tuned,0.0385657554628448,0.6174490406534935,0.005043178785804163
