candidate,outer_fold,validation_books,threshold_policy,fit_seconds,macro_f1,micro_f1,weighted_f1,subset_accuracy,hamming_loss,macro_average_precision,cache_status
Classical TF-IDF,1,6154,Default,20.72622647198538,0.6388337940131622,0.703142771625262,0.7042602662986103,0.20653233669158272,0.16116347091322716,0.6896144629013874,
Frozen E5,1,6154,Tuned,20.72622647198538,0.6526545965254178,0.7235970521606974,0.7209358205467352,0.20685732856678582,0.15662983425414365,0.6918872165803204,
Classical + E5 fusion,1,6154,Tuned,20.72622647198538,0.6742830607365853,0.7381663236615554,0.7369282010489865,0.22911927201819954,0.1467825804354891,0.7232517924005333,
Classical TF-IDF,2,6154,Default,20.582063333441813,0.65048445348627,0.7150379989228651,0.7166034217730575,0.2179070523236919,0.1547611309717257,0.7046416486760103,
Frozen E5,2,6154,Tuned,20.582063333441813,0.65661312135834,0.7263376798561151,0.7260349833559449,0.1915827104322392,0.1582385440363991,0.7007235635013358,
Classical + E5 fusion,2,6154,Tuned,20.582063333441813,0.6773344954107186,0.7405913596727923,0.7426232235032649,0.2257068573285668,0.1484075398115047,0.7378518550877763,
Classical TF-IDF,3,6154,Default,20.764091055840254,0.6447507040277713,0.7120050132792217,0.7134265107728329,0.21871953201169972,0.1568248293792655,0.6902332855491701,
Frozen E5,3,6154,Tuned,20.764091055840254,0.6470758743927092,0.7265818412113536,0.7245044898510968,0.204582385440364,0.15433864153396165,0.6827527081009838,
Classical + E5 fusion,3,6154,Tuned,20.764091055840254,0.6720421932122558,0.7372183461054558,0.7386026354563392,0.22180695482612936,0.14933376665583362,0.7218092696068897,
Fine-tuned E5 | Weighted BCE,1,6154,Tuned,133.97317858412862,0.6231831156253771,0.691037066469887,0.6960674345333775,0.147708807279818,0.17689307767305817,0.665366064936699,generated
Fine-tuned E5 | Asymmetric loss,1,6154,Tuned,155.7639259165153,0.6395625055903329,0.7181748239332426,0.7173523529735828,0.21888202794930126,0.1547611309717257,0.6809607785511582,generated
Fine-tuned E5 | Weighted BCE,2,6154,Tuned,148.19129358325154,0.6365673722906651,0.7119351100811124,0.7108372293062254,0.1855703607409815,0.16158596035099124,0.6664206098953289,generated
Fine-tuned E5 | Asymmetric loss,2,6154,Tuned,140.8036812497303,0.6488328919305665,0.7255622519476701,0.723158697741517,0.2224569385765356,0.15168995775105623,0.6895710033588315,generated
Fine-tuned E5 | Weighted BCE,3,6154,Tuned,144.6497312085703,0.6313334232051822,0.7020794729256743,0.7031217888220408,0.18573285667858302,0.16459213519662008,0.6651507107449859,generated
Fine-tuned E5 | Asymmetric loss,3,6154,Tuned,142.90690574981272,0.6282360377684738,0.7231165486155827,0.720284253906921,0.216769580760481,0.15372115697107572,0.6712130024893408,generated
