embedding_name,mean_norm,norm_std,mean_random_pair_cosine,random_pair_cosine_std,p05_random_pair_cosine,p95_random_pair_cosine,near_zero_variance_dimensions
MiniLM English,1.0,1.273592e-07,0.1447149,0.12106329,-0.034121927,0.35684562,3
Multilingual E5 Small,1.0,1.2746287e-07,0.8066132,0.026343923,0.76102054,0.84874356,0
