representation,queries,neighbors_per_query,mean_neighbor_jaccard,shared_label_rate,mean_query_label_recall_at_k,mean_cosine_similarity
MiniLM English,525,5,0.42874724111866974,0.8636190476190476,0.918485260770975,0.5003520846366882
LSA (100 dimensions),525,5,0.41413771730914595,0.8407619047619047,0.9031383219954648,0.6602827310562134
Multilingual E5 Small,525,5,0.41384368858654574,0.8407619047619047,0.9140272108843538,0.8714758157730103
