repeat,candidate,target_training_books,actual_training_books,validation_books,macro_f1,fit_seconds
1,Classical Word + Character TF-IDF,2500,2500,3699,0.5871686116015893,5.616135832853615
1,MiniLM English,2500,2500,3699,0.5524688694651771,1.3563630422577262
1,Multilingual E5 Small,2500,2500,3699,0.5853504761716938,1.014928917400539
1,Classical Word + Character TF-IDF,5000,5000,3699,0.6177742887057402,9.139604833908379
1,MiniLM English,5000,5000,3699,0.5626016607727399,3.599214875139296
1,Multilingual E5 Small,5000,5000,3699,0.5994301466415617,2.501537250354886
1,Classical Word + Character TF-IDF,10000,10000,3699,0.641570672697914,16.66816933453083
1,MiniLM English,10000,10000,3699,0.5728210382400561,8.315298208966851
1,Multilingual E5 Small,10000,10000,3699,0.6124720691523231,4.703509666956961
1,Classical Word + Character TF-IDF,14763,14763,3699,0.6435000169112316,22.542332999408245
1,MiniLM English,14763,14763,3699,0.5787730419876947,13.435697125270963
1,Multilingual E5 Small,14763,14763,3699,0.6184536671956031,7.4657745426520705
2,Classical Word + Character TF-IDF,2500,2500,3709,0.6081120489288271,5.812699708156288
2,MiniLM English,2500,2500,3709,0.5473112980022702,1.37698058411479
2,Multilingual E5 Small,2500,2500,3709,0.5784003500165409,1.0881339171901345
2,Classical Word + Character TF-IDF,5000,5000,3709,0.6256342348508092,9.144571707583964
2,MiniLM English,5000,5000,3709,0.5683878565723178,3.353099207393825
2,Multilingual E5 Small,5000,5000,3709,0.604750921691789,2.3164049172773957
2,Classical Word + Character TF-IDF,10000,10000,3709,0.6391886469075421,15.906357458792627
2,MiniLM English,10000,10000,3709,0.5789757350524696,8.015288417227566
2,Multilingual E5 Small,10000,10000,3709,0.611335501463852,5.009419333189726
2,Classical Word + Character TF-IDF,14753,14753,3709,0.6485024873786843,22.831377083435655
2,MiniLM English,14753,14753,3709,0.5862204984011395,13.33765604160726
2,Multilingual E5 Small,14753,14753,3709,0.6177956794196859,7.3695638328790665
